car_speed,ray_dist_0,ray_type_0,ray_dist_1,ray_type_1,ray_dist_2,ray_type_2,ray_dist_3,ray_type_3,ray_dist_4,ray_type_4,ray_dist_5,ray_type_5,ray_dist_6,ray_type_6,ray_dist_7,ray_type_7,ray_dist_8,ray_type_8,ray_dist_9,ray_type_9,ray_dist_10,ray_type_10,ray_dist_11,ray_type_11,ray_dist_12,ray_type_12,ray_dist_13,ray_type_13,ray_dist_14,ray_type_14,ray_dist_15,ray_type_15,ray_dist_16,ray_type_16,ray_dist_17,ray_type_17,ray_dist_18,ray_type_18,ray_dist_19,ray_type_19,accelerate,brake,steer_left,steer_right
3.38563,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,358.865,0,1000,-1,181.112,0,172.549,0,186.578,0,228.446,0,202.073,0,177.7,0,228.446,0,183.316,0,174.918,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.4687,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,355.396,0,1000,-1,178.694,0,169.454,0,181.841,0,228.446,0,202.073,0,177.7,0,228.446,0,187.007,0,178.44,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.55135,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,351.845,0,1000,-1,176.26,0,166.333,0,177.182,0,228.446,0,202.073,0,177.7,0,228.446,0,190.786,0,182.046,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.6336,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,348.211,0,1000,-1,173.818,0,163.19,0,172.592,0,228.446,0,202.073,0,177.7,0,228.446,0,194.653,0,185.736,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.71543,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,344.496,0,1000,-1,171.372,0,160.029,0,168.065,0,228.446,0,202.073,0,177.7,0,228.446,0,198.607,0,189.509,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.79685,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,340.699,0,1000,-1,168.93,0,156.854,0,163.598,0,228.446,0,202.073,0,177.7,0,228.446,0,202.648,0,193.364,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.87787,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,336.821,0,1000,-1,166.5,0,153.668,0,159.186,0,228.446,0,202.073,0,177.7,0,228.446,0,206.774,0,197.302,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
3.95848,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,332.862,0,1000,-1,164.093,0,150.477,0,154.83,0,228.446,0,202.073,0,177.7,0,228.446,0,210.987,0,201.321,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.03868,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,328.824,0,652.852,0,161.718,0,147.286,0,150.528,0,183.46,0,202.073,0,177.7,0,228.446,0,215.285,0,205.422,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.11849,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,324.705,0,645.497,0,159.39,0,144.098,0,146.28,0,172.501,0,202.073,0,177.7,0,228.446,0,219.667,0,209.604,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.1979,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,320.507,0,639.083,0,157.126,0,140.921,0,142.087,0,163.691,0,202.073,0,177.7,0,228.446,0,224.135,0,213.867,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.27691,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,316.231,0,633.025,0,154.947,0,137.759,0,137.95,0,155.977,0,202.073,0,177.7,0,228.446,0,228.686,0,218.21,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
4.35552,92.376,0,104.433,0,124.458,0,160,0,233.904,0,460.702,0,311.875,0,627.152,0,152.878,0,134.619,0,133.872,0,148.97,0,202.073,0,177.7,0,228.446,0,233.321,0,222.632,0,124.458,0,85.1342,0,81.2341,0,1,0,0,0
